nested_field2_size,nas_eps_seq_no_value,nas_eps_emm_esm_msg_cont_value,nas_eps_emm_imeisv_req_unmaskedvalue,gsm_a_dtap_time_zone_time_value,gsm_a_dtap_rand_value,nas_eps_msg_auth_code_show,nested_field4_value,gsm_a_dtap_time_zone_time_show,gsm_a_common_elem_id_unmaskedvalue,nested_field3_value,nested_field1_size,nested_field4_show,nas_eps_emm_elem_id_show,nas_eps_spare_bits_value,nested_field5_show,gsm_a_dtap_autn_show,nas_eps_nas_msg_emm_type_show,3gpp_tmsi_value,nested_field2_value,nas_eps_emm_hash_mme_value,nested_field1_show,gsm_a_len_show,nested_field4_size,nas_eps_emm_odd_even_unmaskedvalue,nas_eps_seq_no_show,gsm_a_dtap_text_string_show,nested_field5_size,nas_eps_emm_m_tmsi_show,nested_field1_value,nas_eps_security_header_type_unmaskedvalue,nested_field2_show,e212_tai_mnc_value,nas_eps_emm_res_show,label
3.0,4.0,0.0,1.0,327020325730.5,244.0,438.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,69.0,0.0,44.0,3.0,11.0,1.0,1.0,3.0,1.0,1.0,3992987936.0,153.0,17.0,5.0,1.0,71.0,0
7.0,28.0,57.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,162.0,12.0,6.0,4.0,1.0,3.0,244.0,85.0,72.0,253.0,44.0,12.0,11.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,396.0,7.0,7.0,1.0,71.0,0
7.0,28.0,57.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,162.0,9.0,6.0,4.0,1.0,3.0,244.0,86.0,72.0,253.0,44.0,8.0,8.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,15.0,7.0,7.0,1.0,71.0,0
17.0,28.0,57.0,1.0,327020325730.5,70.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,199.0,82.0,72.0,205.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,220.0,7.0,0.0,1.0,71.0,0
7.0,28.0,57.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,162.0,9.0,6.0,4.0,1.0,3.0,244.0,83.0,72.0,253.0,44.0,1.0,8.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,33.0,7.0,7.0,1.0,22.0,0
3.0,1.0,57.0,0.0,327020325730.5,244.0,47.0,10.0,104.0,2.0,161.0,1.0,4.0,0.0,2.0,3.0,244.0,93.0,72.0,0.0,8.0,9.0,2.0,10.0,2.0,0.0,1.0,1.0,3221226578.0,4.0,37.0,6.0,1.0,71.0,0
7.0,1.0,57.0,1.0,327020325730.5,244.0,0.0,121.0,104.0,3.0,162.0,11.0,6.0,4.0,1.0,3.0,244.0,94.0,72.0,253.0,44.0,7.0,9.0,3.0,2.0,0.0,1.0,1.0,3221226578.0,174.0,47.0,7.0,1.0,71.0,0
7.0,2.0,4.0,1.0,327020325730.5,244.0,455.0,115.0,104.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,244.0,66.0,71.0,2.0,44.0,6.0,6.0,13.0,1.0,1.0,1.0,2.0,4244692857.0,219.0,27.0,4.0,0.0,71.0,0
7.0,2.0,1.0,1.0,327020325730.5,244.0,0.0,121.0,104.0,3.0,162.0,5.0,6.0,4.0,1.0,3.0,244.0,67.0,72.0,253.0,44.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,3221226578.0,0.0,27.0,7.0,1.0,71.0,0
2.0,3.0,57.0,1.0,322012917234.0,244.0,100.0,0.0,0.0,3.0,58.0,17.0,0.0,4.0,1.0,3.0,244.0,97.0,72.0,251.0,44.0,10.0,15.0,3.0,2.0,2.0,0.0,1.0,3221226578.0,208.0,27.0,3.0,1.0,71.0,0
7.0,3.0,57.0,1.0,327020325730.5,244.0,433.0,121.0,104.0,3.0,162.0,12.0,6.0,4.0,1.0,3.0,244.0,72.0,71.0,1.0,44.0,4.0,11.0,3.0,1.0,2.0,1.0,1.0,4244692857.0,155.0,17.0,2.0,1.0,71.0,0
7.0,28.0,57.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,162.0,1.0,6.0,4.0,1.0,3.0,244.0,75.0,72.0,253.0,44.0,2.0,11.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,83.0,7.0,7.0,1.0,71.0,0
3.0,4.0,0.0,1.0,327020325730.5,244.0,280.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,71.0,0.0,44.0,3.0,11.0,1.0,1.0,3.0,1.0,1.0,4244692857.0,155.0,17.0,5.0,1.0,71.0,0
17.0,28.0,57.0,1.0,327020325730.5,155.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,214.0,82.0,72.0,220.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,307.0,7.0,0.0,1.0,71.0,0
7.0,28.0,57.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,162.0,9.0,6.0,4.0,1.0,3.0,244.0,83.0,72.0,253.0,44.0,1.0,8.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,61.0,7.0,7.0,1.0,49.0,0
3.0,1.0,57.0,0.0,327020325730.5,244.0,220.0,18.0,104.0,2.0,161.0,1.0,4.0,0.0,2.0,3.0,244.0,93.0,72.0,0.0,16.0,9.0,2.0,10.0,2.0,0.0,1.0,1.0,3221226578.0,4.0,37.0,6.0,1.0,71.0,0
7.0,2.0,4.0,1.0,327020325730.5,244.0,335.0,113.0,104.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,244.0,66.0,68.0,3.0,44.0,6.0,6.0,13.0,1.0,1.0,1.0,2.0,3858797441.0,219.0,27.0,4.0,0.0,71.0,0
2.0,3.0,57.0,1.0,322012915320.0,244.0,7.0,0.0,1.0,3.0,57.0,17.0,0.0,4.0,1.0,3.0,244.0,97.0,72.0,251.0,44.0,10.0,15.0,3.0,2.0,2.0,0.0,1.0,3221226578.0,208.0,27.0,3.0,1.0,71.0,0
7.0,3.0,57.0,1.0,327020325730.5,244.0,20.0,121.0,104.0,3.0,162.0,12.0,6.0,4.0,1.0,3.0,244.0,72.0,68.0,1.0,44.0,4.0,11.0,3.0,1.0,2.0,1.0,1.0,3858797441.0,152.0,17.0,2.0,1.0,71.0,0
3.0,4.0,0.0,1.0,327020325730.5,244.0,521.0,119.0,104.0,0.0,0.0,12.0,5.0,4.0,1.0,2.0,244.0,65.0,68.0,0.0,44.0,3.0,11.0,1.0,1.0,3.0,1.0,1.0,3858797441.0,152.0,17.0,5.0,1.0,71.0,0
17.0,28.0,57.0,1.0,327020325730.5,239.0,549.0,121.0,104.0,3.0,162.0,16.0,6.0,4.0,1.0,3.0,109.0,82.0,72.0,115.0,44.0,0.0,16.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,391.0,7.0,0.0,1.0,71.0,0
7.0,28.0,57.0,1.0,327020325730.5,244.0,549.0,121.0,104.0,3.0,162.0,9.0,6.0,4.0,1.0,3.0,244.0,83.0,72.0,253.0,44.0,1.0,8.0,3.0,2.0,3.0,1.0,1.0,3221226578.0,62.0,7.0,7.0,1.0,50.0,0
3.0,1.0,57.0,0.0,327020325730.5,244.0,122.0,2.0,104.0,2.0,161.0,1.0,4.0,0.0,2.0,3.0,244.0,93.0,72.0,0.0,0.0,9.0,2.0,10.0,2.0,0.0,1.0,1.0,3221226578.0,4.0,37.0,6.0,1.0,71.0,0
7.0,2.0,6.0,1.0,327020325730.5,244.0,143.0,114.0,104.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,244.0,66.0,70.0,2.0,44.0,6.0,6.0,13.0,1.0,1.0,1.0,2.0,4026553537.0,219.0,27.0,4.0,0.0,71.0,0
