per_enum_index_show,lte-rrc_UL_DCCH_Message_element_pos,per_extension_bit_showname,per_extension_present_bit_showname,lte-rrc_dedicatedInfoType_size,lte-rrc_UL_DCCH_Message_element_size,per_extension_bit_pos,lte-rrc_c1_showname,lte-rrc_rrc_TransactionIdentifier_value,lte-rrc_c1_show,lte-rrc_ulInformationTransfer_r8_element_size,lte-rrc_criticalExtensions_showname,lte-rrc_selectedPLMN_Identity_value,lte-rrc_phich_Duration_value,lte-rrc_rrc_TransactionIdentifier_pos,per_octet_string_length_show,per_sequence_of_length_pos,lte-rrc_ueCapabilityEnquiry_element_pos,per_enum_index_value,per_octet_string_length_showname,per_enum_index_showname,lte-rrc_DL_DCCH_Message_element_size,lte-rrc_dedicatedInfoNASList_value,lte-rrc_establishmentCause_value,lte-rrc_dedicatedInfoNAS_pos,lte-rrc_drb_ToAddModList_pos,lte-rrc_cellIdentity_pos,lte-rrc_criticalExtensions_value,per_octet_string_length_name,lte-rrc_cellIdentity_showname,per_choice_index_pos,per_sequence_of_length_value,per_enum_index_name,per_choice_index_value,lte-rrc_dedicatedInfoType_value,per_octet_string_length_value,lte-rrc_c1_size,lte-rrc_cqi_ReportConfig_element_pos,lte-rrc_systemInformationBlockType1_element_showname,lte-rrc_dedicatedInfoNAS_show,label
3.0,48.0,4.0,2.0,14.0,14.0,45.0,19.0,28.0,4.0,12.0,6.0,0.0,62.0,40.0,21.0,43.0,42.0,12.0,12.0,3.0,5.0,32.0,19.0,47.0,118.0,34.0,339.0,1.0,2.0,40.0,9.0,0.0,34.0,184.0,9.0,14.0,56.0,1.0,264.0,0
1.0,48.0,4.0,2.0,14.0,14.0,45.0,13.0,28.0,1.0,12.0,6.0,0.0,61.0,40.0,21.0,34.0,42.0,4.0,12.0,1.0,5.0,32.0,19.0,47.0,118.0,34.0,339.0,1.0,0.0,34.0,2.0,0.0,12.0,184.0,9.0,14.0,56.0,0.0,264.0,0
3.0,48.0,4.0,2.0,14.0,14.0,45.0,12.0,28.0,0.0,12.0,5.0,0.0,61.0,40.0,21.0,34.0,42.0,27.0,12.0,5.0,5.0,32.0,19.0,47.0,118.0,34.0,5.0,1.0,2.0,34.0,0.0,1.0,1.0,184.0,9.0,32.0,56.0,1.0,264.0,0
4.0,48.0,4.0,2.0,14.0,14.0,45.0,7.0,28.0,1.0,12.0,3.0,0.0,61.0,40.0,21.0,43.0,42.0,4.0,12.0,4.0,5.0,32.0,2.0,47.0,118.0,34.0,247.0,1.0,2.0,35.0,9.0,0.0,12.0,184.0,9.0,6.0,56.0,1.0,264.0,0
3.0,48.0,2.0,2.0,14.0,14.0,45.0,8.0,60.0,3.0,12.0,0.0,0.0,61.0,44.0,21.0,46.0,42.0,6.0,12.0,3.0,5.0,32.0,19.0,47.0,118.0,34.0,338.0,1.0,2.0,44.0,8.0,0.0,21.0,184.0,9.0,19.0,56.0,1.0,264.0,0
3.0,46.0,4.0,2.0,14.0,34.0,45.0,9.0,20.0,4.0,12.0,0.0,0.0,61.0,46.0,32.0,43.0,42.0,27.0,9.0,5.0,5.0,32.0,19.0,47.0,118.0,34.0,184.0,0.0,2.0,46.0,9.0,1.0,3.0,184.0,1.0,34.0,56.0,1.0,154.0,0
0.0,48.0,1.0,0.0,14.0,14.0,41.0,10.0,30.0,6.0,12.0,0.0,0.0,61.0,40.0,21.0,43.0,42.0,0.0,12.0,0.0,2.0,32.0,19.0,47.0,118.0,34.0,229.0,1.0,2.0,40.0,9.0,0.0,8.0,184.0,9.0,2.0,56.0,1.0,264.0,0
3.0,48.0,4.0,2.0,14.0,1.0,45.0,11.0,28.0,5.0,12.0,4.0,0.0,61.0,48.0,21.0,43.0,42.0,27.0,12.0,5.0,5.0,32.0,19.0,47.0,118.0,34.0,228.0,1.0,2.0,48.0,9.0,1.0,5.0,184.0,9.0,1.0,56.0,1.0,264.0,0
3.0,48.0,4.0,2.0,14.0,14.0,45.0,14.0,38.0,7.0,12.0,0.0,0.0,61.0,40.0,21.0,41.0,40.0,27.0,12.0,5.0,2.0,32.0,19.0,47.0,118.0,34.0,230.0,1.0,2.0,40.0,0.0,1.0,10.0,184.0,9.0,2.0,56.0,1.0,264.0,0
3.0,50.0,4.0,2.0,14.0,14.0,45.0,15.0,38.0,7.0,12.0,0.0,0.0,61.0,50.0,21.0,51.0,42.0,27.0,12.0,5.0,5.0,32.0,19.0,47.0,118.0,34.0,231.0,1.0,2.0,50.0,1.0,1.0,10.0,184.0,9.0,14.0,56.0,1.0,264.0,0
